window,policy,total_samples,attack_samples,false_negatives,local_count,rag_count,rag_invocation_rate_percent,false_negative_escalated_to_rag,false_negative_left_local,false_negative_escalation_rate_percent,drift_only_escalations,mean_confidence,drift_events
PRE_DRIFT,CONFIDENCE_ONLY,5000,4821,91,4923,77,1.54,44,47,48.35164835164835,0,0.9896564943743218,0
PRE_DRIFT,CONFIDENCE_PLUS_DRIFT,5000,4821,91,4923,77,1.54,44,47,48.35164835164835,0,0.9896564943743218,0
POST_DRIFT,CONFIDENCE_ONLY,5000,5000,3295,3079,1921,38.42,1921,1374,58.30045523520485,0,0.8119425493227449,1
POST_DRIFT,CONFIDENCE_PLUS_DRIFT,5000,5000,3295,3079,1921,38.42,1921,1374,58.30045523520485,0,0.8119425493227449,1
