section,mode,total_samples,rag_calls,rag_invocation_percentage,total_measured_rag_latency_ms,mean_rag_latency_ms,median_rag_latency_ms,p95_rag_latency_ms,p99_rag_latency_ms,measured_execution_elapsed_ms,phase
OVERALL,SELECTIVE_RAG,20000,3941,19.705000000000002,550.8888002368622,0.13978401426969353,0.1295999973081052,0.1786000211723148,0.3245199681259688,,
OVERALL,ALWAYS_RAG,20000,20000,100.0,2829.569701105356,0.1414784850552678,0.13010000111535192,0.1957049797056242,0.33840995747595864,7422.9543000110425,
PHASE,SELECTIVE_RAG,10000,142,1.4200000000000002,23.444900056347247,0.1651049299742764,,,,,KNOWN
PHASE,SELECTIVE_RAG,10000,3799,37.99,527.4439001805149,0.13883756256396812,,,,,EMERGING
PHASE,ALWAYS_RAG,10000,10000,100.0,1435.0838991813362,0.1435083899181336,,,,,KNOWN
PHASE,ALWAYS_RAG,10000,10000,100.0,1394.48580192402,0.139448580192402,,,,,EMERGING
