policy,total_samples,local_count,local_percentage,rag_count,rag_invocation_percentage,drift_events_observed,drift_only_escalations,comparison_level
CONFIDENCE_ONLY,20000,16059,80.295,3941,19.705000000000002,1,0,OVERALL
CONFIDENCE_PLUS_DRIFT,20000,16059,80.295,3941,19.705000000000002,1,0,OVERALL
CONFIDENCE_ONLY_KNOWN,10000,9858,98.58,142,1.4200000000000002,0,0,PHASE
CONFIDENCE_PLUS_DRIFT_KNOWN,10000,9858,98.58,142,1.4200000000000002,0,0,PHASE
CONFIDENCE_ONLY_EMERGING,10000,6201,62.01,3799,37.99,1,0,PHASE
CONFIDENCE_PLUS_DRIFT_EMERGING,10000,6201,62.01,3799,37.99,1,0,PHASE
