case_id,description,expected_evidence_id,retrieved_evidence_ids,cited_evidence_ids,hit_at_k,reciprocal_rank,evidence_coverage,citation_validity,retrieval_latency_ms,generation_latency_ms,total_latency_ms,prompt_size_bytes,output_size_bytes,evidence_count,rag_invoked
vulnerability-scanning,Vulnerability and network service scanning,mitre-t1046-indicators,mitre-t1046-overview|mitre-t1046-indicators|mitre-t1046-interpretation|mitre-t1046-mitigation,mitre-t1046-overview|mitre-t1046-indicators|mitre-t1046-interpretation|mitre-t1046-mitigation,1,0.5,1,1,1.1443999828770757,0.012299977242946625,1.2533999979496002,3043,4333,4,1
dns-spoofing,DNS spoofing and name resolution poisoning,mitre-t1557-001-indicators,mitre-t1557-001-caveat|mitre-t1557-001-indicators|mitre-t1557-001-overview|mitre-t1557-001-mitigation,mitre-t1557-001-caveat|mitre-t1557-001-indicators|mitre-t1557-001-overview|mitre-t1557-001-mitigation,1,0.5,1,1,0.8077000384218991,0.00689999433234334,0.8756000315770507,2939,4249,4,1
http-flood,HTTP application-layer flooding,mitre-t1499-002-http,mitre-t1499-002-http|mitre-t1499-002-indicators|owasp-dos-controls|mitre-t1499-002-overview,mitre-t1499-002-http|mitre-t1499-002-indicators|owasp-dos-controls|mitre-t1499-002-overview,1,1.0,1,1,0.7294000242836773,0.00589998671784997,0.7925999816507101,2946,4219,4,1
brute-force,Repeated authentication attempts,mitre-t1110-indicators,mitre-t1110-indicators|mitre-t1110-mitigation|mitre-t1046-overview|mitre-t1046-interpretation,mitre-t1110-indicators|mitre-t1110-mitigation|mitre-t1046-overview|mitre-t1046-interpretation,1,1.0,1,1,0.7120000082068145,0.005800044164061546,0.7715000538155437,2886,4198,4,1
command-injection,Unsafe operating-system command input,owasp-command-injection-overview,owasp-command-injection-context|owasp-command-injection-defense|owasp-command-injection-overview|owasp-sql-injection-investigation,owasp-command-injection-context|owasp-command-injection-defense|owasp-command-injection-overview|owasp-sql-injection-investigation,1,0.3333333333333333,1,1,0.6690000300295651,0.004999979864805937,0.721300020813942,2853,4203,4,1
sql-injection,Unsafe database query input,owasp-sql-injection-overview,owasp-sql-injection-investigation|owasp-sql-injection-defense|owasp-sql-injection-overview|owasp-command-injection-context,owasp-sql-injection-investigation|owasp-sql-injection-defense|owasp-sql-injection-overview|owasp-command-injection-context,1,0.3333333333333333,1,1,0.6354000070132315,0.004400033503770828,0.6837000255472958,2818,4144,4,1
network-dos,Network denial of service,mitre-t1498-overview,mitre-t1498-detection|mitre-t1498-mitigation|mitre-t1498-overview|cisa-ddos-overview,mitre-t1498-detection|mitre-t1498-mitigation|mitre-t1498-overview|cisa-ddos-overview,1,0.3333333333333333,1,1,0.624900043476373,0.004399975296109915,0.6744000129401684,2874,4193,4,1
iot-security,IoT device security baseline,nist-iot-8259a-capabilities,nist-iot-state-awareness|nist-iot-8259a-capabilities|mitre-t1210-mitigation|cwe-798-overview,nist-iot-state-awareness|nist-iot-8259a-capabilities|mitre-t1210-mitigation|cwe-798-overview,1,0.5,1,1,0.6139999604783952,0.005999987479299307,0.6637999904341996,2823,4140,4,1
