system,evaluation_scope,total_samples,attack_samples,benign_samples,true_positives,false_negatives,attack_recall_percent,false_positive_rate_percent,false_positives,local_count,local_percentage,rag_count,rag_invocation_percentage,emerging_false_negatives,emerging_false_negatives_routed_local,emerging_false_negatives_routed_rag,false_negative_escalation_rate_percent,drift_events_observed,drift_routed_to_rag
EDGE_ML_ONLY,ALL,40000,39207,793,25809,13398,65.82753079807178,0.5044136191677175,4,40000,100.0,0,0.0,13187,13187,0,0.0,0,0
EDGE_ML_ONLY,KNOWN,20000,19207,793,18996,211,98.90144218253761,0.5044136191677175,4,20000,100.0,0,0.0,0,0,0,0.0,0,0
EDGE_ML_ONLY,EMERGING,20000,20000,0,6813,13187,34.065,0.0,0,20000,100.0,0,0.0,13187,13187,0,0.0,0,0
ML_PLUS_CONFIDENCE_RAG,ALL,40000,39207,793,25809,13398,65.82753079807178,0.5044136191677175,4,32065,80.16250000000001,7935,19.8375,13187,5488,7699,58.383256237203305,0,0
ML_PLUS_CONFIDENCE_RAG,KNOWN,20000,19207,793,18996,211,98.90144218253761,0.5044136191677175,4,19764,98.82,236,1.18,0,0,0,0.0,0,0
ML_PLUS_CONFIDENCE_RAG,EMERGING,20000,20000,0,6813,13187,34.065,0.0,0,12301,61.504999999999995,7699,38.495000000000005,13187,5488,7699,58.383256237203305,0,0
PROPOSED_CONFIDENCE_PLUS_DRIFT_RAG,ALL,40000,39207,793,25809,13398,65.82753079807178,0.5044136191677175,4,32065,80.16250000000001,7935,19.8375,13187,5488,7699,58.383256237203305,0,0
PROPOSED_CONFIDENCE_PLUS_DRIFT_RAG,KNOWN,20000,19207,793,18996,211,98.90144218253761,0.5044136191677175,4,19764,98.82,236,1.18,0,0,0,0.0,0,0
PROPOSED_CONFIDENCE_PLUS_DRIFT_RAG,EMERGING,20000,20000,0,6813,13187,34.065,0.0,0,12301,61.504999999999995,7699,38.495000000000005,13187,5488,7699,58.383256237203305,0,0
